Account,PolicyName,PolicyArn,PolicyDescription
303747409146,ADPMaintenance,arn:aws:iam::303747409146:policy/ADPMaintenance,"{'Version': '2012-10-17', 'Statement': [{'Action': ['autoscaling:*', 'cloudformation:*', 'cloudformation:CreateStack', 'cloudformation:DeleteStack', 'cloudformation:DescribeStackEvents', 'cloudformation:DescribeStacks', 'cloudformation:ListStackResources', 'cloudformation:UpdateStack', 'cloudwatch:*', 'cloudwatch:Describe*', 'cloudwatch:DescribeAlarms', 'cloudwatch:GetMetricStatistics', 'ec2:AssociateAddress', 'ec2:AssociateSubnetCidrBlock', 'ec2:Attach*', 'ec2:AttachVolume', 'ec2:AuthorizeSecurityGroupEgress', 'ec2:AuthorizeSecurityGroupIngress', 'ec2:CopyImage', 'ec2:CreateFpgaImage', 'ec2:CreateImage', 'ec2:CreateKeyPair', 'ec2:CreateSecurityGroup', 'ec2:CreateSecurityGroupEgress', 'ec2:CreateSecurityGroupIngress', 'ec2:CreateSnapshot', 'ec2:CreateTags', 'ec2:CreateVolume', 'ec2:CreateInternetGateway', 'ec2:DeleteInternetGateway', 'ec2:DeleteKeyPair', 'ec2:DeleteSecurityGroup', 'ec2:DeleteSnapshot', 'ec2:DeleteVolume', 'ec2:DeregisterImage', 'ec2:Describe*', 'ec2:DescribeKeyPairs', 'ec2:Detach*', 'ec2:DetachVolume', 'ec2:DetachInternetGateway', 'ec2:DisassociateSubnetCidrBlock', 'ec2:Get*', 'ec2:ImportKeyPair', 'ec2:InstanceType', 'ec2:ModifyInstanceAttribute', 'ec2:ModifyVolume', 'ec2:ModifyVolumeAttribute', 'ec2:RebootInstances', 'ec2:RegisterImage', 'ec2:ReplaceNetworkAclAssociation', 'ec2:ReplaceNetworkAclEntry', 'ec2:RevokeSecurityGroupEgress', 'ec2:RevokeSecurityGroupIngress', 'ec2:RunInstances', 'ec2:StartInstances', 'ec2:StopInstances', 'ec2:TerminateInstances', 'ec2:UpdateSecurityGroupRuleDescriptionsEgress', 'ec2:UpdateSecurityGroupRuleDescriptionsIngress', 'elasticfilesystem:ModifyMountTargetSecurityGroups', 'elasticloadbalancing:ConfigureHealthCheck', 'elasticloadbalancing:CreateLoadBalancer', 'elasticloadbalancing:DeleteLoadBalancer', 'elasticloadbalancing:Describe*', 'elasticloadbalancing:ModifyLoadBalancerAttributes', 'elasticloadbalancing:RegisterInstancesWithLoadBalancer', 'elasticloadbalancing:SetLoadBalancerPoliciesOfListener', 'events:DeleteRule', 'events:DescribeRule', 'events:DescribeRule', 'events:PutRule', 'events:PutTargets', 'events:RemoveTargets', 'iam:AddRoleToInstanceProfile', 'iam:AttachRolePolicy', 'iam:AttachUserPolicy', 'iam:CreateAccessKey', 'iam:CreateInstanceProfile', 'iam:CreateRole', 'iam:CreateUser', 'iam:DeleteAccessKey', 'iam:DeleteInstanceProfile', 'iam:DeleteRole', 'iam:DeleteRolePolicy', 'iam:DeleteUser', 'iam:DeleteUserPolicy', 'iam:DetachRolePolicy', 'iam:GetInstanceProfile', 'iam:GetRole', 'iam:GetSSHPublicKey', 'iam:GetUser', 'iam:ListAccessKeys', 'iam:ListRolePolicies', 'iam:ListRoles', 'iam:ListSSHPublicKeys ', 'iam:PassRole', 'iam:PutRolePolicy', 'iam:PutUserPolicy', 'iam:RemoveRoleFromInstanceProfile', 'iam:UpdateSSHPublicKey', 'iam:UploadSSHPublicKey ', 'kms:CreateAlias', 'kms:CreateKey', 'kms:DeleteAlias', 'kms:DeleteKey', 'kms:Decrypt', 'kms:Encrypt', 'kms:Get*', 'kms:ListAliases', 'kms:ListKeys', 'kms:Enable*', 'kms:Put*', 'kms:ScheduleKeyDeletion', 'kms:TagResource', 'lambda:*', 'lambda:AddPermission', 'lambda:CreateFunction', 'lambda:GetAccountSettings', 'lambda:GetFunctionConfiguration', 'lambda:ListAliases', 'lambda:ListFunctions', 'lambda:ListTags', 'lambda:TagResource', 'lambda:UntagResource', 'lambda:UpdateFunctionCode', 'lambda:UpdateFunctionConfiguration', 'logs:Describe*', 'logs:FilterLogEvents', 'logs:GetLogEvents', 'logs:TestMetricFilter', 'rds:*', 'route53:ChangeResourceRecordSets', 'route53:CreateRecordSet', 'route53:DeleteRecordSet', 'route53:GetChange', 'route53:GetHostedZone', 'route53:ListHostedZones', 'route53:ListResourceRecordSets', 's3:CreateBucket', 's3:DeleteBucket', 's3:DeleteObject', 's3:DeleteObjectVersion', 's3:GetBucketAcl', 's3:GetBucketLocation', 's3:GetBucketPolicy', 's3:GetObject', 's3:GetObjectAcl', 's3:GetObjectVersion', 's3:ListAllMyBuckets', 's3:ListBucket', 's3:ListBucketVersions', 's3:PutBucketAcl', 's3:PutBucketPolicy', 's3:PutObject', 's3:PutObjectAcl', 'sns:ListTopics', 'sns:GetTopicAttributes', 'sns:ConfirmSubscription', 'sns:CreateTopic', 'sns:Publish*', 'sns:SetTopicAttributes', 'sns:Subscribe', 'sts:DecodeAuthorizationMessage', 'sts:DecodeAuthorizationMessage'], 'Resource': '*', 'Effect': 'Allow'}]}"
303747409146,Artifactory-Bucket-policy,arn:aws:iam::303747409146:policy/Artifactory-Bucket-policy,"{'Version': '2012-10-17', 'Statement': [{'Action': ['s3:ListBucket'], 'Resource': ['arn:aws:s3:::artifactory4-artifactorybucket-194o0m0b7mjrk'], 'Effect': 'Allow'}, {'Action': ['s3:PutObject', 's3:GetObject', 's3:DeleteObject'], 'Resource': ['arn:aws:s3:::artifactory4-artifactorybucket-194o0m0b7mjrk/*'], 'Effect': 'Allow'}]}"
303747409146,AssumeRolePolicy,arn:aws:iam::303747409146:policy/AssumeRolePolicy,"{'Version': '2012-10-17', 'Statement': [{'Action': 'sts:AssumeRole', 'Resource': '*', 'Effect': 'Allow', 'Sid': 'VisualEditor0'}]}"
303747409146,AWSCloudFormationFullAccess,arn:aws:iam::303747409146:policy/AWSCloudFormationFullAccess,"{'Version': '2012-10-17', 'Statement': [{'Action': ['cloudformation:*'], 'Resource': '*', 'Effect': 'Allow'}]}"
303747409146,bosh-policy,arn:aws:iam::303747409146:policy/bosh-policy,"{'Version': '2012-10-17', 'Statement': [{'Action': ['ec2:AssociateAddress', 'ec2:AttachVolume', 'ec2:CreateVolume', 'ec2:DeleteSnapshot', 'ec2:DeleteVolume', 'ec2:DescribeAddresses', 'ec2:DescribeImages', 'ec2:DescribeInstances', 'ec2:DescribeRegions', 'ec2:DescribeSecurityGroups', 'ec2:DescribeSnapshots', 'ec2:DescribeSubnets', 'ec2:DescribeVolumes', 'ec2:DetachVolume', 'ec2:CreateSnapshot', 'ec2:CreateTags', 'ec2:RunInstances', 'ec2:StartInstances', 'ec2:TerminateInstances', 'ec2:RegisterImage', 'ec2:DeregisterImage', 'ec2:ResetInstanceAttribute'], 'Resource': '*', 'Effect': 'Allow'}, {'Action': 'elasticloadbalancing:*', 'Resource': '*', 'Effect': 'Allow'}, {'Action': ['iam:List*', 'iam:Get*', 'iam:PassRole'], 'Resource': '*', 'Effect': 'Allow'}, {'Action': ['kms:CreateKey', 'kms:TagResource', 'kms:ListAliases', 'kms:CreateAlias', 'kms:Encrypt', 'kms:Decrypt', 'kms:DescribeKey', 'kms:GetKeyPolicy', 'kms:ListKeyPolicies', 'kms:ReEncryptFrom', 'kms:ReEncryptTo'], 'Resource': '*', 'Effect': 'Allow'}]}"
303747409146,cc-adp-terraform-policy,arn:aws:iam::303747409146:policy/cc-adp-terraform-policy,"{'Version': '2012-10-17', 'Statement': [{'Action': ['iam:*', 's3:*', 'kms:*', 'ec2:*', 'elasticloadbalancing:*'], 'Resource': '*', 'Effect': 'Allow', 'Sid': 'VisualEditor0'}, {'Action': 'route53:*', 'Resource': ['arn:aws:route53:::hostedzone/ZW2FPUM1E30CZ', 'arn:aws:route53:::change/ZW2FPUM1E30CZ', 'arn:aws:route53:::change/C12AI23HGPOMYL', 'arn:aws:route53:::change/C1WCLVJIGG31JR', 'arn:aws:route53:::change/C3SYYIA8DVHIUM', 'arn:aws:route53:::change/*'], 'Effect': 'Allow', 'Sid': 'VisualEditor1'}]}"
303747409146,cc-adpsecrets-s3-repo,arn:aws:iam::303747409146:policy/cc-adpsecrets-s3-repo,"{'Version': '2012-10-17', 'Statement': [{'Action': ['s3:AbortMultipartUpload', 's3:DeleteObject', 's3:DeleteObjectVersion', 's3:GetAccelerateConfiguration', 's3:GetBucketAcl', 's3:GetBucketCORS', 's3:GetBucketLocation', 's3:GetBucketLogging', 's3:GetBucketNotification', 's3:GetBucketPolicy', 's3:GetBucketRequestPayment', 's3:GetBucketTagging', 's3:GetBucketVersioning', 's3:GetBucketWebsite', 's3:GetLifecycleConfiguration', 's3:GetObject', 's3:GetObjectAcl', 's3:GetObjectTagging', 's3:GetObjectTorrent', 's3:GetObjectVersion', 's3:GetObjectVersionAcl', 's3:GetObjectVersionTagging', 's3:GetObjectVersionTorrent', 's3:GetReplicationConfiguration', 's3:ListAllMyBuckets', 's3:ListBucket', 's3:ListObjects', 's3:ListBucketMultipartUploads', 's3:ListBucketVersions', 's3:ListMultipartUploadParts', 's3:PutObject', 's3:ReplicateObject'], 'Resource': ['arn:aws:s3:::adp-credentials'], 'Effect': 'Allow', 'Sid': 'Stmt1501105796000'}]}"
303747409146,cc-artifactory-s3-repo,arn:aws:iam::303747409146:policy/cc-artifactory-s3-repo,"{'Version': '2012-10-17', 'Statement': [{'Action': ['s3:ListBucket'], 'Resource': ['arn:aws:s3:::artifactory-303747409146'], 'Effect': 'Allow'}, {'Action': ['s3:PutObject', 's3:GetObject', 's3:DeleteObject'], 'Resource': ['arn:aws:s3:::artifactory-303747409146/*'], 'Effect': 'Allow'}]}"
303747409146,ccdt_iam_nodepolicy,arn:aws:iam::303747409146:policy/ccdt_iam_nodepolicy,"{'Version': '2012-10-17', 'Statement': [{'Action': ['logs:*'], 'Resource': 'arn:aws:logs:*:*:*', 'Effect': 'Allow'}, {'Action': 'ec2:Describe*', 'Resource': '*', 'Effect': 'Allow'}, {'Action': ['ec2:CreateSnapshot', 'ec2:DeleteSnapshot', 'ec2:CreateTags', 'ec2:ModifySnapshotAttribute', 'ec2:ResetSnapshotAttribute'], 'Resource': ['*'], 'Effect': 'Allow'}]}"
303747409146,CloudFormsPolicy,arn:aws:iam::303747409146:policy/CloudFormsPolicy,"{'Version': '2012-10-17', 'Statement': [{'Action': ['acm:ListCertificates', 'athena:List*', 'aws-marketplace:ViewSubscriptions', 'autoscaling:Describe*', 'batch:ListJobs', 'clouddirectory:ListAppliedSchemaArns', 'clouddirectory:ListDevelopmentSchemaArns', 'clouddirectory:ListDirectories', 'clouddirectory:ListPublishedSchemaArns', 'cloudformation:List*', 'cloudformation:DescribeStacks', 'cloudfront:List*', 'cloudhsm:ListAvailableZones', 'cloudhsm:ListLunaClients', 'cloudhsm:ListHapgs', 'cloudhsm:ListHsms', 'cloudsearch:List*', 'cloudsearch:DescribeDomains', 'cloudtrail:DescribeTrails', 'cloudtrail:LookupEvents', 'cloudwatch:List*', 'cloudformation:GetTemplate', 'cloudwatch:GetMetricData', 'codebuild:ListBuilds*', 'codebuild:ListProjects', 'codecommit:List*', 'codedeploy:List*', 'codedeploy:Get*', 'codepipeline:ListPipelines', 'codestar:List*', 'codestar:Verify*', 'cognito-idp:List*', 'cognito-identity:ListIdentities', 'cognito-identity:ListIdentityPools', 'cognito-sync:ListDatasets', 'connect:List*', 'config:List*', 'config:Describe*', 'datapipeline:ListPipelines', 'datapipeline:DescribePipelines', 'datapipeline:GetAccountLimits', 'devicefarm:List*', 'directconnect:Describe*', 'discovery:List*', 'dms:List*', 'ds:DescribeDirectories', 'dynamodb:ListTables', 'ec2:DescribeAccountAttributes', 'ec2:DescribeAddresses', 'ec2:DescribeAvailabilityZones', 'ec2:DescribeBundleTasks', 'ec2:DescribeClassicLinkInstances', 'ec2:DescribeConversionTasks', 'ec2:DescribeCustomerGateways', 'ec2:DescribeDhcpOptions', 'ec2:DescribeExportTasks', 'ec2:DescribeFlowLogs', 'ec2:DescribeHost*', 'ec2:DescribeIdentityIdFormat', 'ec2:DescribeIdFormat', 'ec2:DescribeImage*', 'ec2:DescribeImport*', 'ec2:DescribeInstance*', 'ec2:DescribeInternetGateways', 'ec2:DescribeKeyPairs', 'ec2:DescribeMovingAddresses', 'ec2:DescribeNatGateways', 'ec2:DescribeNetwork*', 'ec2:DescribePlacementGroups', 'ec2:DescribePrefixLists', 'ec2:DescribeRegions', 'ec2:DescribeReserved*', 'ec2:DescribeRouteTables', 'ec2:DescribeSecurityGroups', 'ec2:DescribeSnapshot*', 'ec2:DescribeSpot*', 'ec2:DescribeSubnets', 'ec2:DescribeVolume*', 'ec2:DescribeVpc*', 'ec2:DescribeVpnGateways', 'ecr:DescribeRepositories', 'ecr:ListImages', 'ecs:List*', 'elasticache:Describe*', 'elasticbeanstalk:DescribeApplicationVersions', 'elasticbeanstalk:DescribeApplications', 'elasticbeanstalk:DescribeEnvironments', 'elasticbeanstalk:ListAvailableSolutionStacks', 'elasticloadbalancing:DescribeListeners', 'elasticloadbalancing:DescribeLoadBalancers', 'elasticloadbalancing:DescribeTargetGroups', 'elasticloadbalancing:DescribeTargetHealth', 'elasticfilesystem:DescribeFileSystems', 'elasticmapreduce:List*', 'elastictranscoder:List*', 'es:DescribeElasticsearchDomain', 'es:DescribeElasticsearchDomains', 'es:ListDomainNames', 'events:ListRuleNamesByTarget', 'events:ListRules', 'events:ListTargetsByRule', 'firehose:List*', 'firehose:DescribeDeliveryStream', 'gamelift:List*', 'glacier:List*', 'iam:List*', 'iam:GetAccountSummary', 'iam:GetLoginProfile', 'importexport:ListJobs', 'inspector:List*', 'iot:List*', 'kinesis:ListStreams', 'kinesisanalytics:ListApplications', 'kms:ListKeys', 'lambda:List*', 'lex:GetBotAliases', 'lex:GetBotChannelAssociations', 'lex:GetBots', 'lex:GetBotVersions', 'lex:GetIntents', 'lex:GetIntentVersions', 'lex:GetSlotTypes', 'lex:GetSlotTypeVersions', 'lex:GetUtterancesView', 'lightsail:GetBlueprints', 'lightsail:GetBundles', 'lightsail:GetInstances', 'lightsail:GetInstanceSnapshots', 'lightsail:GetKeyPair', 'lightsail:GetRegions', 'lightsail:GetStaticIps', 'lightsail:IsVpcPeered', 'logs:Describe*', 'machinelearning:Describe*', 'mobilehub:ListAvailableFeatures', 'mobilehub:ListAvailableRegions', 'mobilehub:ListProjects', 'opsworks:Describe*', 'opsworks-cm:Describe*', 'organizations:List*', 'mobiletargeting:GetApplicationSettings', 'mobiletargeting:GetCampaigns', 'mobiletargeting:GetImportJobs', 'mobiletargeting:GetSegments', 'polly:Describe*', 'polly:List*', 'rds:Describe*', 'redshift:DescribeClusters', 'redshift:DescribeEvents', 'redshift:ViewQueriesInConsole', 'route53:List*', 'route53:Get*', 'route53domains:List*', 's3:ListAllMyBuckets', 's3:ListBucket', 'sdb:List*', 'servicecatalog:List*', 'ses:List*', 'shield:List*', 'states:ListActivities', 'states:ListStateMachines', 'sns:List*', 'sqs:ListQueues', 'ssm:ListAssociations', 'ssm:ListDocuments', 'storagegateway:ListGateways', 'storagegateway:ListLocalDisks', 'storagegateway:ListVolumeRecoveryPoints', 'storagegateway:ListVolumes', 'swf:List*', 'trustedadvisor:Describe*', 'waf:List*', 'waf-regional:List*', 'workdocs:DescribeAvailableDirectories', 'workdocs:DescribeInstances', 'workmail:Describe*', 'workspaces:Describe*'], 'Resource': '*', 'Effect': 'Allow'}]}"
